Freq.	V(out)
1.00000000000000e+00	(4.70026052110415e+00dB,7.05672708391808e+01°)
1.00695555005672e+00	(4.74840990188842e+00dB,7.03339833127792e+01°)
1.01395947979003e+00	(4.79638263832000e+00dB,7.01004355501374e+01°)
1.02101212570719e+00	(4.84417776113469e+00dB,6.98666293793795e+01°)
1.02811382665607e+00	(4.89179430198931e+00dB,6.96325667548400e+01°)
1.03526492384138e+00	(4.93923129367659e+00dB,6.93982497570191e+01°)
1.04246576084112e+00	(4.98648777067829e+00dB,6.91636805924308e+01°)
1.04971668362307e+00	(5.03356276930289e+00dB,6.89288615948617e+01°)
1.05701804056138e+00	(5.08045532815275e+00dB,6.86937952242352e+01°)
1.06437018245336e+00	(5.12716448851832e+00dB,6.84584840676384e+01°)
1.07177346253629e+00	(5.17368929470646e+00dB,6.82229308384641e+01°)
1.07922823650443e+00	(5.22002879441726e+00dB,6.79871383768977e+01°)
1.08673486252606e+00	(5.26618203905171e+00dB,6.77511096499720e+01°)
1.09429370126074e+00	(5.31214808425051e+00dB,6.75148477508695e+01°)
1.10190511587661e+00	(5.35792599002290e+00dB,6.72783558987927e+01°)
1.10956947206785e+00	(5.40351482133381e+00dB,6.70416374389832e+01°)
1.11728713807222e+00	(5.44891364837750e+00dB,6.68046958427685e+01°)
1.12505848468881e+00	(5.49412154688598e+00dB,6.65675347060656e+01°)
1.13288388529580e+00	(5.53913759865106e+00dB,6.63301577499400e+01°)
1.14076371586843e+00	(5.58396089171854e+00dB,6.60925688199381e+01°)
1.14869835499704e+00	(5.62859052096793e+00dB,6.58547718852929e+01°)
1.15668818390529e+00	(5.67302558827776e+00dB,6.56167710385449e+01°)
1.16473358646846e+00	(5.71726520298307e+00dB,6.53785704949939e+01°)
1.17283494923188e+00	(5.76130848226590e+00dB,6.51401745918885e+01°)
1.18099266142953e+00	(5.80515455142327e+00dB,6.49015877876748e+01°)
1.18920711500272e+00	(5.84880254439569e+00dB,6.46628146614055e+01°)
1.19747870461893e+00	(5.89225160394242e+00dB,6.44238599117465e+01°)
1.20580782769076e+00	(5.93550088214652e+00dB,6.41847283559573e+01°)
1.21419488439505e+00	(5.97854954060852e+00dB,6.39454249294455e+01°)
1.22264027769207e+00	(6.02139675106319e+00dB,6.37059546842478e+01°)
1.23114441334492e+00	(6.06404169547673e+00dB,6.34663227880470e+01°)
1.23970769993899e+00	(6.10648356646688e+00dB,6.32265345236170e+01°)
1.24833054890161e+00	(6.14872156774335e+00dB,6.29865952869366e+01°)
1.25701337452183e+00	(6.19075491433164e+00dB,6.27465105864361e+01°)
1.26575659397028e+00	(6.23258283300388e+00dB,6.25062860417931e+01°)
1.27456062731927e+00	(6.27420456257636e+00dB,6.22659273822560e+01°)
1.28342589756291e+00	(6.31561935423363e+00dB,6.20254404457555e+01°)
1.29235283063750e+00	(6.35682647177515e+00dB,6.17848311774023e+01°)
1.30134185544194e+00	(6.39782519218530e+00dB,6.15441056274791e+01°)
1.31039340385837e+00	(6.43861480569039e+00dB,6.13032699507828e+01°)
1.31950791077290e+00	(6.47919461629009e+00dB,6.10623304045792e+01°)
1.32868581409652e+00	(6.51956394176070e+00dB,6.08212933469946e+01°)
1.33792755478612e+00	(6.55972211438100e+00dB,6.05801652359876e+01°)
1.34723357686569e+00	(6.59966848088566e+00dB,6.03389526266604e+01°)
1.35660432744768e+00	(6.63940240293086e+00dB,6.00976621703448e+01°)
1.36604025675440e+00	(6.67892325734582e+00dB,5.98563006124929e+01°)
1.37554181813975e+00	(6.71823043635101e+00dB,5.96148747909984e+01°)
1.38510946811093e+00	(6.75732334800790e+00dB,5.93733916342877e+01°)
1.39474366635041e+00	(6.79620141628444e+00dB,5.91318581594278e+01°)
1.40444487573800e+00	(6.83486408147539e+00dB,5.88902814700755e+01°)
1.41421356237310e+00	(6.87331080040775e+00dB,5.86486687547325e+01°)
1.42405019559708e+00	(6.91154104666428e+00dB,5.84070272844167e+01°)
1.43395524801583e+00	(6.94955431085134e+00dB,5.81653644110810e+01°)
1.44392919552250e+00	(6.98735010093074e+00dB,5.79236875649348e+01°)
1.45397251732032e+00	(7.02492794225761e+00dB,5.76820042528858e+01°)
1.46408569594563e+00	(7.06228737798553e+00dB,5.74403220560185e+01°)
1.47426921729111e+00	(7.09942796926069e+00dB,5.71986486274407e+01°)
1.48452357062906e+00	(7.13634929527595e+00dB,5.69569916902191e+01°)
1.49484924863494e+00	(7.17305095369233e+00dB,5.67153590349886e+01°)
1.50524674741107e+00	(7.20953256071861e+00dB,5.64737585176484e+01°)
1.51571656651040e+00	(7.24579375129678e+00dB,5.62321980571449e+01°)
1.52625920896057e+00	(7.28183417932999e+00dB,5.59906856331373e+01°)
1.53687518128802e+00	(7.31765351774803e+00dB,5.57492292836409e+01°)
1.54756499354240e+00	(7.35325145889187e+00dB,5.55078371024298e+01°)
1.55832915932101e+00	(7.38862771442680e+00dB,5.52665172368490e+01°)
1.56916819579351e+00	(7.42378201567631e+00dB,5.50252778852990e+01°)
1.58008262372676e+00	(7.45871411357933e+00dB,5.47841272949608e+01°)
1.59107296750985e+00	(7.49342377903033e+00dB,5.45430737588982e+01°)
1.60213975517925e+00	(7.52791080291378e+00dB,5.43021256138269e+01°)
1.61328351844426e+00	(7.56217499604989e+00dB,5.40612912379679e+01°)
1.62450479271248e+00	(7.59621618965684e+00dB,5.38205790477044e+01°)
1.63580411711557e+00	(7.63003423514812e+00dB,5.35799974956974e+01°)
1.64718203453516e+00	(7.66362900430405e+00dB,5.33395550682200e+01°)
1.65863909162889e+00	(7.69700038943915e+00dB,5.30992602823844e+01°)
1.67017583885675e+00	(7.73014830337369e+00dB,5.28591216837672e+01°)
1.68179283050744e+00	(7.76307267954732e+00dB,5.26191478437662e+01°)
1.69349062472506e+00	(7.79577347199845e+00dB,5.23793473571056e+01°)
1.70526978353592e+00	(7.82825065558645e+00dB,5.21397288390583e+01°)
1.71713087287552e+00	(7.86050422581639e+00dB,5.19003009231994e+01°)
1.72907446261574e+00	(7.89253419895264e+00dB,5.16610722583759e+01°)
1.74110112659226e+00	(7.92434061217216e+00dB,5.14220515064061e+01°)
1.75321144263208e+00	(7.95592352330700e+00dB,5.11832473395450e+01°)
1.76540599258132e+00	(7.98728301108406e+00dB,5.09446684376295e+01°)
1.77768536233315e+00	(8.01841917498678e+00dB,5.07063234858627e+01°)
1.79005014185596e+00	(8.04933213524743e+00dB,5.04682211719136e+01°)
1.80250092522167e+00	(8.08002203298381e+00dB,5.02303701832650e+01°)
1.81503831063433e+00	(8.11048902983791e+00dB,4.99927792053966e+01°)
1.82766290045881e+00	(8.14073330837472e+00dB,4.97554569182582e+01°)
1.84037530124976e+00	(8.17075507152285e+00dB,4.95184119944343e+01°)
1.85317612378075e+00	(8.20055454301452e+00dB,4.92816530962819e+01°)
1.86606598307363e+00	(8.23013196694628e+00dB,4.90451888736421e+01°)
1.87904549842804e+00	(8.25948760794137e+00dB,4.88090279609160e+01°)
1.89211529345120e+00	(8.28862175088886e+00dB,4.85731789753653e+01°)
1.90527599608789e+00	(8.31753470101505e+00dB,4.83376505139237e+01°)
1.91852823865054e+00	(8.34622678366610e+00dB,4.81024511509307e+01°)
1.93187265784970e+00	(8.37469834423767e+00dB,4.78675894361062e+01°)
1.94530989482459e+00	(8.40294974805304e+00dB,4.76330738919781e+01°)
1.95884059517387e+00	(8.43098138031561e+00dB,4.73989130108228e+01°)
1.97246540898673e+00	(8.45879364578224e+00dB,4.71651152538108e+01°)
1.98618499087409e+00	(8.48638696898187e+00dB,4.69316890469748e+01°)
2.00000000000002e+00	(8.51376179363489e+00dB,4.66986427799209e+01°)
2.01391110011345e+00	(8.54091858279990e+00dB,4.64659848039354e+01°)
2.02791895958007e+00	(8.56785781863896e+00dB,4.62337234288434e+01°)
2.04202425141440e+00	(8.59458000219399e+00dB,4.60018669210578e+01°)
2.05622765331215e+00	(8.62108565333022e+00dB,4.57704235016542e+01°)
2.07052984768277e+00	(8.64737531044596e+00dB,4.55394013441816e+01°)
2.08493152168226e+00	(8.67344953036718e+00dB,4.53088085724984e+01°)
2.09943336724615e+00	(8.69930888802861e+00dB,4.50786532586815e+01°)
2.11403608112278e+00	(8.72495397648550e+00dB,4.48489434210269e+01°)
2.12874036490674e+00	(8.75038540650936e+00dB,4.46196870220743e+01°)
2.14354692507260e+00	(8.77560380654083e+00dB,4.43908919663386e+01°)
2.15845647300887e+00	(8.80060982222826e+00dB,4.41625660993029e+01°)
2.17346972505213e+00	(8.82540411656066e+00dB,4.39347172043630e+01°)
2.18858740252150e+00	(8.84998736936408e+00dB,4.37073530014930e+01°)
2.20381023175324e+00	(8.87436027720179e+00dB,4.34804811460128e+01°)
2.21913894413571e+00	(8.89852355293808e+00dB,4.32541092259581e+01°)
2.23457427614446e+00	(8.92247792589026e+00dB,4.30282447606179e+01°)
2.25011696937764e+00	(8.94622414121737e+00dB,4.28028951990497e+01°)
2.26576777059162e+00	(8.96976295977478e+00dB,4.25780679184041e+01°)
2.28152743173687e+00	(8.99309515793501e+00dB,4.23537702223179e+01°)
2.29739670999409e+00	(9.01622152731265e+00dB,4.21300093390787e+01°)
2.31337636781060e+00	(9.03914287440296e+00dB,4.19067924204414e+01°)
2.32946717293693e+00	(9.06186002045426e+00dB,4.16841265402100e+01°)
2.34566989846378e+00	(9.08437380098738e+00dB,4.14620186926566e+01°)
2.36198532285908e+00	(9.10668506585447e+00dB,4.12404757911613e+01°)
2.37841423000546e+00	(9.12879467864273e+00dB,4.10195046669605e+01°)
2.39495740923788e+00	(9.15070351659422e+00dB,4.07991120676905e+01°)
2.41161565538154e+00	(9.17241247015257e+00dB,4.05793046564914e+01°)
2.42838976879012e+00	(9.19392244296018e+00dB,4.03600890105292e+01°)
2.44528055538416e+00	(9.21523435118329e+00dB,4.01414716200602e+01°)
2.46228882668986e+00	(9.23634912363623e+00dB,3.99234588868667e+01°)
2.47941539987800e+00	(9.25726770125706e+00dB,3.97060571237892e+01°)
2.49666109780325e+00	(9.27799103667445e+00dB,3.94892725537464e+01°)
2.51402674904368e+00	(9.29852009429159e+00dB,3.92731113082659e+01°)
2.53151318794059e+00	(9.31885584975623e+00dB,3.90575794266060e+01°)
2.54912125463855e+00	(9.33899928960185e+00dB,3.88426828556069e+01°)
2.56685179512583e+00	(9.35895141116387e+00dB,3.86284274481052e+01°)
2.58470566127501e+00	(9.37871322213970e+00dB,3.84148189624061e+01°)
2.60268371088389e+00	(9.39828574027466e+00dB,3.82018630616144e+01°)
2.62078680771675e+00	(9.41766999312225e+00dB,3.79895653132403e+01°)
2.63901582154582e+00	(9.43686701780751e+00dB,3.77779311876703e+01°)
2.65737162819305e+00	(9.45587786053251e+00dB,3.75669660586902e+01°)
2.67585510957225e+00	(9.47470357647908e+00dB,3.73566752020514e+01°)
2.69446715373141e+00	(9.49334522939682e+00dB,3.71470637954331e+01°)
2.71320865489537e+00	(9.51180389134622e+00dB,3.69381369178575e+01°)
2.73208051350882e+00	(9.53008064242901e+00dB,3.67298995491894e+01°)
2.75108363627952e+00	(9.54817657034289e+00dB,3.65223565701046e+01°)
2.77021893622188e+00	(9.56609277027994e+00dB,3.63155127610293e+01°)
2.78948733270084e+00	(9.58383034452346e+00dB,3.61093728028348e+01°)
2.80888975147603e+00	(9.60139040217075e+00dB,3.59039412757195e+01°)
2.82842712474622e+00	(9.61877405883666e+00dB,3.56992226595165e+01°)
2.84810039119418e+00	(9.63598243635350e+00dB,3.54952213333044e+01°)
2.86791049603169e+00	(9.65301666255016e+00dB,3.52919415753099e+01°)
2.88785839104503e+00	(9.66987787086182e+00dB,3.50893875628298e+01°)
2.90794503464065e+00	(9.68656719998975e+00dB,3.48875633725217e+01°)
2.92817139189129e+00	(9.70308579394489e+00dB,3.46864729796022e+01°)
2.94853843458224e+00	(9.71943480134115e+00dB,3.44861202585275e+01°)
2.96904714125813e+00	(9.73561537535472e+00dB,3.42865089831142e+01°)
2.98969849726991e+00	(9.75162867348328e+00dB,3.40876428258561e+01°)
3.01049349482217e+00	(9.76747585702816e+00dB,3.38895253592005e+01°)
3.03143313302083e+00	(9.78315809104522e+00dB,3.36921600548860e+01°)
3.05251841792116e+00	(9.79867654406930e+00dB,3.34955502841321e+01°)
3.07375036257606e+00	(9.81403238766736e+00dB,3.32996993184626e+01°)
3.09512998708482e+00	(9.82922679635455e+00dB,3.31046103295875e+01°)
3.11665831864204e+00	(9.84426094722938e+00dB,3.29102863896467e+01°)
