Freq.	V(out)
1.00000000000000e+00	(-6.93654770588578e+00dB,7.05679606416525e+01°)
1.00695555005672e+00	(-6.88839774287886e+00dB,7.03346756517466e+01°)
1.01395947979003e+00	(-6.84042442038590e+00dB,7.01011304132638e+01°)
1.02101212570719e+00	(-6.79262870765788e+00dB,6.98673267529472e+01°)
1.02811382665607e+00	(-6.74501157285040e+00dB,6.96332666243897e+01°)
1.03526492384138e+00	(-6.69757398329767e+00dB,6.93989521085839e+01°)
1.04246576084112e+00	(-6.65031690479525e+00dB,6.91643854115879e+01°)
1.04971668362307e+00	(-6.60324130060574e+00dB,6.89295688666128e+01°)
1.05701804056138e+00	(-6.55634813238204e+00dB,6.86945049332086e+01°)
1.06437018245336e+00	(-6.50963835886886e+00dB,6.84591961980494e+01°)
1.07177346253629e+00	(-6.46311293563429e+00dB,6.82236453742003e+01°)
1.07922823650443e+00	(-6.41677281528441e+00dB,6.79878553024905e+01°)
1.08673486252606e+00	(-6.37061894619771e+00dB,6.77518289482503e+01°)
1.09429370126074e+00	(-6.32465227283863e+00dB,6.75155694043077e+01°)
1.10190511587661e+00	(-6.27887373527187e+00dB,6.72790798909759e+01°)
1.10956947206785e+00	(-6.23328426840702e+00dB,6.70423637514740e+01°)
1.11728713807222e+00	(-6.18788480227192e+00dB,6.68054244579471e+01°)
1.12505848468881e+00	(-6.14267626095920e+00dB,6.65682656054178e+01°)
1.13288388529580e+00	(-6.09765956298196e+00dB,6.63308909147537e+01°)
1.14076371586843e+00	(-6.05283561998108e+00dB,6.60933042307283e+01°)
1.14869835499704e+00	(-6.00820533735760e+00dB,6.58555095229027e+01°)
1.15668818390529e+00	(-5.96376961320555e+00dB,6.56175108831741e+01°)
1.16473358646846e+00	(-5.91952933819763e+00dB,6.53793125268618e+01°)
1.17283494923188e+00	(-5.87548539521728e+00dB,6.51409187905035e+01°)
1.18099266142953e+00	(-5.83163865900014e+00dB,6.49023341326027e+01°)
1.18920711500272e+00	(-5.78798999567906e+00dB,6.46635631312510e+01°)
1.19747870461893e+00	(-5.74454026256920e+00dB,6.44246104851608e+01°)
1.20580782769076e+00	(-5.70129030749877e+00dB,6.41854810116908e+01°)
1.21419488439505e+00	(-5.65824096875572e+00dB,6.39461796447558e+01°)
1.22264027769207e+00	(-5.61539307509822e+00dB,6.37067114372478e+01°)
1.23114441334492e+00	(-5.57274744426667e+00dB,6.34670815558675e+01°)
1.23970769993899e+00	(-5.53030488379109e+00dB,6.32272952836405e+01°)
1.24833054890161e+00	(-5.48806618999906e+00dB,6.29873580159340e+01°)
1.25701337452183e+00	(-5.44603214788625e+00dB,6.27472752606457e+01°)
1.26575659397028e+00	(-5.40420353071241e+00dB,6.25070526373532e+01°)
1.27456062731927e+00	(-5.36258109986811e+00dB,6.22666958755925e+01°)
1.28342589756291e+00	(-5.32116560405416e+00dB,6.20262108126702e+01°)
