Freq.	V(cold)/I(cold)	V(hot)/I(hot)
1.00000000000000e+00	(8.37015364436917e+01dB,1.10627222812995e+02°)	(8.68056056897027e+01dB,1.33363103495718e+02°)
1.00695555005672e+00	(8.36467222589426e+01dB,1.10806361722467e+02°)	(8.67738882922736e+01dB,1.33561384804390e+02°)
1.01395947979003e+00	(8.35920802917285e+01dB,1.10986522472758e+02°)	(8.67423790260241e+01dB,1.33759735050773e+02°)
1.02101212570719e+00	(8.35376124920266e+01dB,1.11167699101861e+02°)	(8.67110780257821e+01dB,1.33958144746486e+02°)
1.02811382665607e+00	(8.34833207998920e+01dB,1.11349885452843e+02°)	(8.66799854064768e+01dB,1.34156604388887e+02°)
1.03526492384138e+00	(8.34292071448941e+01dB,1.11533075174700e+02°)	(8.66491012630946e+01dB,1.34355104463353e+02°)
1.04246576084112e+00	(8.33752734455557e+01dB,1.11717261723295e+02°)	(8.66184256706423e+01dB,1.34553635445547e+02°)
1.04971668362307e+00	(8.33215216087947e+01dB,1.11902438362379e+02°)	(8.65879586841182e+01dB,1.34752187803699e+02°)
1.05701804056138e+00	(8.32679535293680e+01dB,1.12088598164691e+02°)	(8.65577003384916e+01dB,1.34950752000902e+02°)
1.06437018245336e+00	(8.32145710893209e+01dB,1.12275734013139e+02°)	(8.65276506486883e+01dB,1.35149318497390e+02°)
1.07177346253629e+00	(8.31613761574368e+01dB,1.12463838602062e+02°)	(8.64978096095867e+01dB,1.35347877752844e+02°)
1.07922823650443e+00	(8.31083705886950e+01dB,1.12652904438569e+02°)	(8.64681771960171e+01dB,1.35546420228663e+02°)
1.08673486252606e+00	(8.30555562237289e+01dB,1.12842923843962e+02°)	(8.64387533627741e+01dB,1.35744936390274e+02°)
1.09429370126074e+00	(8.30029348882911e+01dB,1.13033888955225e+02°)	(8.64095380446323e+01dB,1.35943416709412e+02°)
