Freq.	V(n011)/I(unbalanced)
1.00000000000000e+00	(8.52108265759740e+01dB,1.19127620897436e+02°)
1.00695555005672e+00	(8.51649615350633e+01dB,1.19296791714090e+02°)
1.01395947979003e+00	(8.51192484951593e+01dB,1.19466574640393e+02°)
1.02101212570719e+00	(8.50736885528674e+01dB,1.19636965905685e+02°)
1.02811382665607e+00	(8.50282828018332e+01dB,1.19807961639856e+02°)
1.03526492384138e+00	(8.49830323324883e+01dB,1.19979557873072e+02°)
1.04246576084112e+00	(8.49379382317932e+01dB,1.20151750535520e+02°)
1.04971668362307e+00	(8.48930015829788e+01dB,1.20324535457193e+02°)
1.05701804056138e+00	(8.48482234652846e+01dB,1.20497908367701e+02°)
1.06437018245336e+00	(8.48036049536949e+01dB,1.20671864896122e+02°)
1.07177346253629e+00	(8.47591471186734e+01dB,1.20846400570879e+02°)
1.07922823650443e+00	(8.47148510258946e+01dB,1.21021510819657e+02°)
1.08673486252606e+00	(8.46707177359745e+01dB,1.21197190969351e+02°)
1.09429370126074e+00	(8.46267483041986e+01dB,1.21373436246050e+02°)
1.10190511587661e+00	(8.45829437802485e+01dB,1.21550241775061e+02°)
1.10956947206785e+00	(8.45393052079267e+01dB,1.21727602580959e+02°)
1.11728713807222e+00	(8.44958336248807e+01dB,1.21905513587690e+02°)
1.12505848468881e+00	(8.44525300623244e+01dB,1.22083969618694e+02°)
1.13288388529580e+00	(8.44093955447594e+01dB,1.22262965397077e+02°)
1.14076371586843e+00	(8.43664310896950e+01dB,1.22442495545820e+02°)
1.14869835499704e+00	(8.43236377073663e+01dB,1.22622554588021e+02°)
1.15668818390529e+00	(8.42810164004533e+01dB,1.22803136947185e+02°)
1.16473358646846e+00	(8.42385681637975e+01dB,1.22984236947549e+02°)
1.17283494923188e+00	(8.41962939841188e+01dB,1.23165848814440e+02°)
1.18099266142953e+00	(8.41541948397325e+01dB,1.23347966674691e+02°)
1.18920711500272e+00	(8.41122717002648e+01dB,1.23530584557078e+02°)
