Freq.	V(out)
1.00000000000000e+00	(3.93357076725277e+00dB,6.99147756076809e+01°)
1.00695555005672e+00	(3.98091325599052e+00dB,6.96841565659328e+01°)
1.01395947979003e+00	(4.02808389754991e+00dB,6.94533291737961e+01°)
1.02101212570719e+00	(4.07508185562107e+00dB,6.92222948220782e+01°)
1.02811382665607e+00	(4.12190629336430e+00dB,6.89910550114386e+01°)
1.03526492384138e+00	(4.16855637395559e+00dB,6.87596113494341e+01°)
1.04246576084112e+00	(4.21503126104953e+00dB,6.85279655528086e+01°)
1.04971668362307e+00	(4.26133011878230e+00dB,6.82961194474366e+01°)
1.05701804056138e+00	(4.30745211200604e+00dB,6.80640749673749e+01°)
1.06437018245336e+00	(4.35339640714793e+00dB,6.78318341569763e+01°)
1.07177346253629e+00	(4.39916217182517e+00dB,6.75993991696796e+01°)
1.07922823650443e+00	(4.44474857562844e+00dB,6.73667722687439e+01°)
1.08673486252606e+00	(4.49015479010306e+00dB,6.71339558272309e+01°)
1.09429370126074e+00	(4.53537998936913e+00dB,6.69009523288184e+01°)
1.10190511587661e+00	(4.58042334997398e+00dB,6.66677643661999e+01°)
1.10956947206785e+00	(4.62528405195651e+00dB,6.64343946425660e+01°)
1.11728713807222e+00	(4.66996127815452e+00dB,6.62008459706454e+01°)
1.12505848468881e+00	(4.71445421553697e+00dB,6.59671212738883e+01°)
1.13288388529580e+00	(4.75876205460000e+00dB,6.57332235849832e+01°)
1.14076371586843e+00	(4.80288399039334e+00dB,6.54991560460403e+01°)
1.14869835499704e+00	(4.84681922243687e+00dB,6.52649219088489e+01°)
1.15668818390529e+00	(4.89056695510593e+00dB,6.50305245340521e+01°)
1.16473358646846e+00	(4.93412639806480e+00dB,6.47959673922028e+01°)
1.17283494923188e+00	(4.97749676638979e+00dB,6.45612540608258e+01°)
1.18099266142953e+00	(5.02067728102847e+00dB,6.43263882269440e+01°)
1.18920711500272e+00	(5.06366716920257e+00dB,6.40913736851868e+01°)
1.19747870461893e+00	(5.10646566440441e+00dB,6.38562143369141e+01°)
1.20580782769076e+00	(5.14907200691914e+00dB,6.36209141906348e+01°)
1.21419488439505e+00	(5.19148544417495e+00dB,6.33854773614290e+01°)
1.22264027769207e+00	(5.23370523104385e+00dB,6.31499080698962e+01°)
1.23114441334492e+00	(5.27573062998001e+00dB,6.29142106421650e+01°)
1.23970769993899e+00	(5.31756091167518e+00dB,6.26783895075943e+01°)
1.24833054890161e+00	(5.35919535484276e+00dB,6.24424492007672e+01°)
1.25701337452183e+00	(5.40063324697097e+00dB,6.22063943580572e+01°)
1.26575659397028e+00	(5.44187388459001e+00dB,6.19702297187444e+01°)
1.27456062731927e+00	(5.48291657335374e+00dB,6.17339601235083e+01°)
1.28342589756291e+00	(5.52376062865906e+00dB,6.14975905124856e+01°)
1.29235283063750e+00	(5.56440537528584e+00dB,6.12611259259332e+01°)
1.30134185544194e+00	(5.60485014869914e+00dB,6.10245715030417e+01°)
1.31039340385837e+00	(5.64509429460095e+00dB,6.07879324795838e+01°)
1.31950791077290e+00	(5.68513716934132e+00dB,6.05512141885342e+01°)
1.32868581409652e+00	(5.72497814025337e+00dB,6.03144220573138e+01°)
1.33792755478612e+00	(5.76461658636610e+00dB,6.00775616085682e+01°)
1.34723357686569e+00	(5.80405189779269e+00dB,5.98406384569180e+01°)
1.35660432744768e+00	(5.84328347717038e+00dB,5.96036583094221e+01°)
1.36604025675440e+00	(5.88231073861624e+00dB,5.93666269627641e+01°)
1.37554181813975e+00	(5.92113310910923e+00dB,5.91295503035864e+01°)
1.38510946811093e+00	(5.95975002822211e+00dB,5.88924343057554e+01°)
1.39474366635041e+00	(5.99816094861716e+00dB,5.86552850301522e+01°)
1.40444487573800e+00	(6.03636533608019e+00dB,5.84181086209974e+01°)
1.41421356237310e+00	(6.07436266994853e+00dB,5.81809113077743e+01°)
1.42405019559708e+00	(6.11215244320591e+00dB,5.79436994006269e+01°)
1.43395524801583e+00	(6.14973416306174e+00dB,5.77064792905653e+01°)
1.44392919552250e+00	(6.18710735091456e+00dB,5.74692574466485e+01°)
1.45397251732032e+00	(6.22427154250006e+00dB,5.72320404160852e+01°)
1.46408569594563e+00	(6.26122628849101e+00dB,5.69948348201310e+01°)
1.47426921729111e+00	(6.29797115436919e+00dB,5.67576473551571e+01°)
1.48452357062906e+00	(6.33450572090173e+00dB,5.65204847877204e+01°)
1.49484924863494e+00	(6.37082958430354e+00dB,5.62833539561900e+01°)
1.50524674741107e+00	(6.40694235637841e+00dB,5.60462617664166e+01°)
1.51571656651040e+00	(6.44284366471737e+00dB,5.58092151909699e+01°)
1.52625920896057e+00	(6.47853315294727e+00dB,5.55722212663375e+01°)
1.53687518128802e+00	(6.51401048091110e+00dB,5.53352870927323e+01°)
1.54756499354240e+00	(6.54927532502349e+00dB,5.50984198297324e+01°)
1.55832915932101e+00	(6.58432737813884e+00dB,5.48616266971650e+01°)
1.56916819579351e+00	(6.61916634996499e+00dB,5.46249149705417e+01°)
1.58008262372676e+00	(6.65379196726728e+00dB,5.43882919804791e+01°)
1.59107296750985e+00	(6.68820397363684e+00dB,5.41517651100631e+01°)
1.60213975517925e+00	(6.72240213030196e+00dB,5.39153417925823e+01°)
1.61328351844426e+00	(6.75638621567539e+00dB,5.36790295113911e+01°)
1.62450479271248e+00	(6.79015602588917e+00dB,5.34428357939295e+01°)
1.63580411711557e+00	(6.82371137471645e+00dB,5.32067682128793e+01°)
1.64718203453516e+00	(6.85705209351020e+00dB,5.29708343834563e+01°)
1.65863909162889e+00	(6.89017803235964e+00dB,5.27350419600855e+01°)
1.67017583885675e+00	(6.92308905869138e+00dB,5.24993986339533e+01°)
1.68179283050744e+00	(6.95578505808987e+00dB,5.22639121338235e+01°)
1.69349062472506e+00	(6.98826593493188e+00dB,5.20285902196635e+01°)
1.70526978353592e+00	(7.02053161175034e+00dB,5.17934406831624e+01°)
1.71713087287552e+00	(7.05258202943643e+00dB,5.15584713445510e+01°)
1.72907446261574e+00	(7.08441714745521e+00dB,5.13236900494232e+01°)
1.74110112659226e+00	(7.11603694396739e+00dB,5.10891046697111e+01°)
1.75321144263208e+00	(7.14744141576550e+00dB,5.08547230967077e+01°)
1.76540599258132e+00	(7.17863057823418e+00dB,5.06205532422266e+01°)
1.77768536233315e+00	(7.20960446580137e+00dB,5.03866030353900e+01°)
1.79005014185596e+00	(7.24036313141572e+00dB,5.01528804200904e+01°)
1.80250092522167e+00	(7.27090664709670e+00dB,4.99193933515821e+01°)
1.81503831063433e+00	(7.30123510353356e+00dB,4.96861497971300e+01°)
1.82766290045881e+00	(7.33134861040223e+00dB,4.94531577304639e+01°)
1.84037530124976e+00	(7.36124729610660e+00dB,4.92204251313872e+01°)
1.85317612378075e+00	(7.39093130825102e+00dB,4.89879599829387e+01°)
1.86606598307363e+00	(7.42040081291499e+00dB,4.87557702686526e+01°)
1.87904549842804e+00	(7.44965599534211e+00dB,4.85238639709881e+01°)
1.89211529345120e+00	(7.47869705932430e+00dB,4.82922490685389e+01°)
1.90527599608789e+00	(7.50752422780245e+00dB,4.80609335341905e+01°)
1.91852823865054e+00	(7.53613774204573e+00dB,4.78299253318423e+01°)
1.93187265784970e+00	(7.56453786250610e+00dB,4.75992324150709e+01°)
1.94530989482459e+00	(7.59272486786165e+00dB,4.73688627250748e+01°)
1.95884059517387e+00	(7.62069905548568e+00dB,4.71388241870796e+01°)
1.97246540898673e+00	(7.64846074134655e+00dB,4.69091247093570e+01°)
1.98618499087409e+00	(7.67601026002001e+00dB,4.66797721804334e+01°)
2.00000000000002e+00	(7.70334796393266e+00dB,4.64507744672571e+01°)
2.01391110011345e+00	(7.73047422437415e+00dB,4.62221394125957e+01°)
2.02791895958007e+00	(7.75738943027621e+00dB,4.59938748321655e+01°)
2.04202425141440e+00	(7.78409398881043e+00dB,4.57659885154913e+01°)
2.05622765331215e+00	(7.81058832520321e+00dB,4.55384882188845e+01°)
2.07052984768277e+00	(7.83687288245753e+00dB,4.53113816680987e+01°)
2.08493152168226e+00	(7.86294812102060e+00dB,4.50846765529485e+01°)
2.09943336724615e+00	(7.88881451920504e+00dB,4.48583805275264e+01°)
2.11403608112278e+00	(7.91447257256258e+00dB,4.46325012061706e+01°)
2.12874036490674e+00	(7.93992279392921e+00dB,4.44070461623136e+01°)
2.14354692507260e+00	(7.96516571330751e+00dB,4.41820229280113e+01°)
2.15845647300887e+00	(7.99020187748202e+00dB,4.39574389888666e+01°)
2.17346972505213e+00	(8.01503185026151e+00dB,4.37333017842155e+01°)
2.18858740252150e+00	(8.03965621193469e+00dB,4.35096187053378e+01°)
2.20381023175324e+00	(8.06407555917975e+00dB,4.32863970918443e+01°)
2.21913894413571e+00	(8.08829050488809e+00dB,4.30636442334225e+01°)
2.23457427614446e+00	(8.11230167822513e+00dB,4.28413673626505e+01°)
2.25011696937764e+00	(8.13610972399803e+00dB,4.26195736580865e+01°)
2.26576777059162e+00	(8.15971530271288e+00dB,4.23982702402357e+01°)
2.28152743173687e+00	(8.18311909043832e+00dB,4.21774641704322e+01°)
2.29739670999409e+00	(8.20632177846124e+00dB,4.19571624482775e+01°)
2.31337636781060e+00	(8.22932407301282e+00dB,4.17373720117583e+01°)
2.32946717293693e+00	(8.25212669526742e+00dB,4.15180997344487e+01°)
2.34566989846378e+00	(8.27473038074919e+00dB,4.12993524234720e+01°)
2.36198532285908e+00	(8.29713587983927e+00dB,4.10811368195165e+01°)
2.37841423000546e+00	(8.31934395631988e+00dB,4.08634595939491e+01°)
2.39495740923788e+00	(8.34135538863885e+00dB,4.06463273482989e+01°)
2.41161565538154e+00	(8.36317096816814e+00dB,4.04297466122387e+01°)
2.42838976879012e+00	(8.38479150044753e+00dB,4.02137238430135e+01°)
2.44528055538416e+00	(8.40621780346738e+00dB,3.99982654234896e+01°)
2.46228882668986e+00	(8.42745070863602e+00dB,3.97833776600062e+01°)
2.47941539987800e+00	(8.44849106001830e+00dB,3.95690667838130e+01°)
2.49666109780325e+00	(8.46933971351472e+00dB,3.93553389475470e+01°)
2.51402674904368e+00	(8.48999753800402e+00dB,3.91422002243026e+01°)
2.53151318794059e+00	(8.51046541363348e+00dB,3.89296566069783e+01°)
2.54912125463855e+00	(8.53074423249743e+00dB,3.87177140084971e+01°)
2.56685179512583e+00	(8.55083489791780e+00dB,3.85063782583091e+01°)
2.58470566127501e+00	(8.57073832437446e+00dB,3.82956551029916e+01°)
2.60268371088389e+00	(8.59045543719276e+00dB,3.80855502045830e+01°)
2.62078680771675e+00	(8.60998717219591e+00dB,3.78760691409981e+01°)
2.63901582154582e+00	(8.62933447547609e+00dB,3.76672174029202e+01°)
2.65737162819305e+00	(8.64849830329515e+00dB,3.74590003957671e+01°)
2.67585510957225e+00	(8.66747962163959e+00dB,3.72514234361248e+01°)
2.69446715373141e+00	(8.68627940568428e+00dB,3.70444917532530e+01°)
2.71320865489537e+00	(8.70489864007825e+00dB,3.68382104871177e+01°)
2.73208051350882e+00	(8.72333831848885e+00dB,3.66325846882521e+01°)
2.75108363627952e+00	(8.74159944282779e+00dB,3.64276193171399e+01°)
2.77021893622188e+00	(8.75968302360025e+00dB,3.62233192434579e+01°)
2.78948733270084e+00	(8.77759007955730e+00dB,3.60196892456091e+01°)
2.80888975147603e+00	(8.79532163710667e+00dB,3.58167340099916e+01°)
2.82842712474622e+00	(8.81287873005737e+00dB,3.56144581316898e+01°)
2.84810039119418e+00	(8.83026239961857e+00dB,3.54128661133426e+01°)
2.86791049603169e+00	(8.84747369408737e+00dB,3.52119623633500e+01°)
2.88785839104503e+00	(8.86451366829458e+00dB,3.50117511985980e+01°)
2.90794503464065e+00	(8.88138338344292e+00dB,3.48122368414066e+01°)
2.92817139189129e+00	(8.89808390716669e+00dB,3.46134234208672e+01°)
2.94853843458224e+00	(8.91461631277692e+00dB,3.44153149718035e+01°)
2.96904714125813e+00	(8.93098167932618e+00dB,3.42179154359600e+01°)
2.98969849726991e+00	(8.94718109104515e+00dB,3.40212286598987e+01°)
