Freq.	V(out)
1.00000000000000e+00	(-7.70330303933923e+00dB,6.99148976925321e+01°)
1.00695555005672e+00	(-7.65596064844737e+00dB,6.96842798626721e+01°)
1.01395947979003e+00	(-7.60879010565395e+00dB,6.94534536969929e+01°)
1.02101212570719e+00	(-7.56179224722637e+00dB,6.92224205832386e+01°)
1.02811382665607e+00	(-7.51496790925471e+00dB,6.89911820272469e+01°)
1.03526492384138e+00	(-7.46831792929366e+00dB,6.87597396317637e+01°)
1.04246576084112e+00	(-7.42184314419576e+00dB,6.85280951163187e+01°)
1.04971668362307e+00	(-7.37554438876831e+00dB,6.82962503062114e+01°)
1.05701804056138e+00	(-7.32942249813808e+00dB,6.80642071366656e+01°)
1.06437018245336e+00	(-7.28347830674922e+00dB,6.78319676513224e+01°)
1.07177346253629e+00	(-7.23771264608077e+00dB,6.75995340028395e+01°)
1.07922823650443e+00	(-7.19212634760307e+00dB,6.73669084570451e+01°)
1.08673486252606e+00	(-7.14672023892244e+00dB,6.71340933846555e+01°)
1.09429370126074e+00	(-7.10149514591899e+00dB,6.69010912705968e+01°)
1.10190511587661e+00	(-7.05645189237088e+00dB,6.66679047084013e+01°)
1.10956947206785e+00	(-7.01159129802141e+00dB,6.64345363991110e+01°)
1.11728713807222e+00	(-6.96691418017037e+00dB,6.62009891591124e+01°)
1.12505848468881e+00	(-6.92242135203089e+00dB,6.59672659090730e+01°)
1.13288388529580e+00	(-6.87811362258610e+00dB,6.57333696837929e+01°)
1.14076371586843e+00	(-6.83399179717373e+00dB,6.54993036234403e+01°)
1.14869835499704e+00	(-6.79005667622437e+00dB,6.52650709813258e+01°)
1.15668818390529e+00	(-6.74630905505880e+00dB,6.50306751184357e+01°)
1.16473358646846e+00	(-6.70274972436431e+00dB,6.47961195049623e+01°)
1.17283494923188e+00	(-6.65937946915872e+00dB,6.45614077177608e+01°)
1.18099266142953e+00	(-6.61619906794327e+00dB,6.43265434459407e+01°)
1.18920711500272e+00	(-6.57320929411052e+00dB,6.40915304832074e+01°)
1.19747870461893e+00	(-6.53041091388710e+00dB,6.38563727306721e+01°)
1.20580782769076e+00	(-6.48780468682308e+00dB,6.36210741974452e+01°)
1.21419488439505e+00	(-6.44539136526792e+00dB,6.33856389990021e+01°)
1.22264027769207e+00	(-6.40317169537013e+00dB,6.31500713563761e+01°)
1.23114441334492e+00	(-6.36114641347655e+00dB,6.29143755952720e+01°)
1.23970769993899e+00	(-6.31931624959564e+00dB,6.26785561442924e+01°)
1.24833054890161e+00	(-6.27768192488920e+00dB,6.24426175396807e+01°)
1.25701337452183e+00	(-6.23624415161750e+00dB,6.22065644184735e+01°)
1.26575659397028e+00	(-6.19500363336357e+00dB,6.19704015189452e+01°)
1.27456062731927e+00	(-6.15396106488086e+00dB,6.17341336803908e+01°)
1.28342589756291e+00	(-6.11311713028481e+00dB,6.14977658448120e+01°)
1.29235283063750e+00	(-6.07247250469029e+00dB,6.12613030541847e+01°)
1.30134185544194e+00	(-6.03202785290651e+00dB,6.10247504452581e+01°)
1.31039340385837e+00	(-5.99178382935086e+00dB,6.07881132554556e+01°)
1.31950791077290e+00	(-5.95174107764371e+00dB,6.05513968172428e+01°)
1.32868581409652e+00	(-5.91190022953993e+00dB,6.03146065591903e+01°)
1.33792755478612e+00	(-5.87226190756402e+00dB,6.00777480014989e+01°)
1.34723357686569e+00	(-5.83282672052773e+00dB,5.98408267610315e+01°)
1.35660432744768e+00	(-5.79359526569829e+00dB,5.96038485467753e+01°)
1.36604025675440e+00	(-5.75456812928778e+00dB,5.93668191518407e+01°)
1.37554181813975e+00	(-5.71574588455012e+00dB,5.91297444647960e+01°)
1.38510946811093e+00	(-5.67712909142769e+00dB,5.88926304596383e+01°)
1.39474366635041e+00	(-5.63871829757622e+00dB,5.86554831967008e+01°)
1.40444487573800e+00	(-5.60051403710025e+00dB,5.84183088222952e+01°)
1.41421356237310e+00	(-5.56251683099434e+00dB,5.81811135635566e+01°)
1.42405019559708e+00	(-5.52472718545029e+00dB,5.79439037336188e+01°)
1.43395524801583e+00	(-5.48714559388868e+00dB,5.77066857197819e+01°)
1.44392919552250e+00	(-5.44977253477041e+00dB,5.74694659948653e+01°)
