Freq.	V(cold)	V(hot)
2.00000000000000e+01	(-1.34412733619088e-01dB,-1.69522154489863e+02°)	(-1.34325689509351e-01dB,1.04786800912635e+01°)
2.14354692507259e+01	(-1.17266354910944e-01dB,-1.70211598047985e+02°)	(-1.17179310658989e-01dB,9.78929643389041e+00°)
2.29739670999407e+01	(-1.02284462449520e-01dB,-1.70857156654611e+02°)	(-1.02197418034212e-01dB,9.14380202730054e+00°)
2.46228882668983e+01	(-8.91999171183003e-02dB,-1.71461355437081e+02°)	(-8.91128725153540e-02dB,8.53967205272608e+00°)
2.63901582154579e+01	(-7.77770971723165e-02dB,-1.72026624601769e+02°)	(-7.76900523538375e-02dB,7.97447663451704e+00°)
2.82842712474619e+01	(-6.78085279855223e-02dB,-1.72555292918012e+02°)	(-6.77214829194651e-02dB,7.44588735779402e+00°)
3.03143313302080e+01	(-5.91117868601107e-02dB,-1.73049583763603e+02°)	(-5.90247415096680e-02dB,6.95168122466444e+00°)
3.24900958542494e+01	(-5.15266828508509e-02dB,-1.73511613242335e+02°)	(-5.14396371737366e-02dB,6.48974253850298e+00°)
3.48220225318450e+01	(-4.49127040795895e-02dB,-1.73943389954611e+02°)	(-4.48256580272367e-02dB,6.05806313529482e+00°)
3.73213196614723e+01	(-3.91467199575507e-02dB,-1.74346816066638e+02°)	(-3.90596734741602e-02dB,5.65474131654532e+00°)
4.00000000000000e+01	(-3.41209225435649e-02dB,-1.74723689381359e+02°)	(-3.40338755650464e-02dB,5.27797978059317e+00°)
4.28709385014517e+01	(-2.97409894877237e-02dB,-1.75075706164954e+02°)	(-2.96539419404567e-02dB,4.92608279851639e+00°)
4.59479341998814e+01	(-2.59244502721391e-02dB,-1.75404464526586e+02°)	(-2.58374020715554e-02dB,4.59745283697441e+00°)
4.92457765337966e+01	(-2.25992374690912e-02dB,-1.75711468186548e+02°)	(-2.25121885180382e-02dB,4.29058679282211e+00°)
5.27803164309157e+01	(-1.97024052635587e-02dB,-1.75998130499773e+02°)	(-1.96153554504517e-02dB,4.00407197256999e+00°)
5.65685424949238e+01	(-1.71789983555277e-02dB,-1.76265778628296e+02°)	(-1.70919475521768e-02dB,3.73658192310228e+00°)
6.06286626604159e+01	(-1.49810554360753e-02dB,-1.76515657778480e+02°)	(-1.48940034952358e-02dB,3.48687219785608e+00°)
6.49801917084988e+01	(-1.30667326227627e-02dB,-1.76748935437192e+02°)	(-1.29796793752937e-02dB,3.25377612429635e+00°)
6.96440450636899e+01	(-1.13995334730801e-02dB,-1.76966705556209e+02°)	(-1.13124787246893e-02dB,3.03620062342789e+00°)
7.46426393229445e+01	(-9.94763342102405e-03dB,-1.77169992646442e+02°)	(-9.86057694852898e-03dB,2.83312211976137e+00°)
7.99999999999999e+01	(-8.68328766709161e-03dB,-1.77359755753600e+02°)	(-8.59622921411487e-03dB,2.64358257015018e+00°)
8.57418770029034e+01	(-7.58231267466589e-03dB,-1.77536892294945e+02°)	(-7.49525194672238e-03dB,2.46668563185231e+00°)
9.18958683997627e+01	(-6.62363247322253e-03dB,-1.77702241743272e+02°)	(-6.53656913202294e-03dB,2.30159298371365e+00°)
9.84915530675932e+01	(-5.78888193389747e-03dB,-1.77856589149375e+02°)	(-5.70181559086076e-03dB,2.14752080923715e+00°)
1.05560632861831e+02	(-5.06206006484843e-03dB,-1.78000668498311e+02°)	(-4.97499027360551e-03dB,2.00373644625507e+00°)
1.13137084989848e+02	(-4.42922717259064e-03dB,-1.78135165897919e+02°)	(-4.34215342039476e-03dB,1.86955520476354e+00°)
