Freq.	V(cold)	V(hot)
2.00000000000000e+01	(4.52557860536001e+01dB,1.12562860737532e+02°)	(4.52366929161832e+01dB,1.11959082568607e+02°)
2.14354692507259e+01	(4.47444352625575e+01dB,1.13954444674082e+02°)	(4.47206466096761e+01dB,1.13317855009629e+02°)
2.29739670999407e+01	(4.42442877085932e+01dB,1.15416539088377e+02°)	(4.42153167340796e+01dB,1.14747380071014e+02°)
2.46228882668983e+01	(4.37564177189928e+01dB,1.16948110180828e+02°)	(4.37217613523401e+01dB,1.16246966961225e+02°)
2.63901582154579e+01	(4.32819267286116e+01dB,1.18547311751568e+02°)	(4.32410724713445e+01dB,1.17815152314741e+02°)
2.82842712474619e+01	(4.28219254128408e+01dB,1.20211405959149e+02°)	(4.27743598464139e+01dB,1.19449615000637e+02°)
3.03143313302080e+01	(4.23775123098031e+01dB,1.21936702283983e+02°)	(4.23227311810390e+01dB,1.21147106012418e+02°)
3.24900958542494e+01	(4.19497493625888e+01dB,1.23718521639724e+02°)	(4.18872690097824e+01dB,1.22903400317991e+02°)
3.48220225318450e+01	(4.15396351493997e+01dB,1.25551192237927e+02°)	(4.14690048750705e+01dB,1.24713277520906e+02°)
3.73213196614723e+01	(4.11480769116419e+01dB,1.27428082695951e+02°)	(4.10688917535202e+01dB,1.26570537437149e+02°)
4.00000000000000e+01	(4.07758627919218e+01dB,1.29341675926054e+02°)	(4.06877760139985e+01dB,1.28468055121630e+02°)
4.28709385014517e+01	(4.04236359041239e+01dB,1.31283684623330e+02°)	(4.03263704481815e+01dB,1.30397877490997e+02°)
4.59479341998814e+01	(4.00918719279583e+01dB,1.33245205900837e+02°)	(3.99852300539285e+01dB,1.32351360633725e+02°)
4.92457765337966e+01	(3.97808618164114e+01dB,1.35216909163396e+02°)	(3.96647322302770e+01dB,1.34319343474478e+02°)
5.27803164309157e+01	(3.94907009167682e+01dB,1.37189248124236e+02°)	(3.93650628383781e+01dB,1.36292350089384e+02°)
5.65685424949238e+01	(3.92212853552990e+01dB,1.39152685422276e+02°)	(3.90862092018585e+01dB,1.38260810128392e+02°)
6.06286626604159e+01	(3.89723159734222e+01dB,1.41097916980864e+02°)	(3.88279606008243e+01dB,1.40215284928967e+02°)
6.49801917084988e+01	(3.87433095021652e+01dB,1.43016083278458e+02°)	(3.85899162204836e+01dB,1.42146686306462e+02°)
6.96440450636899e+01	(3.85336161028638e+01dB,1.44898956073340e+02°)	(3.83714999273991e+01dB,1.44046475780556e+02°)
7.46426393229445e+01	(3.83424419575889e+01dB,1.46739091611663e+02°)	(3.81719807418554e+01dB,1.45906834015253e+02°)
7.99999999999999e+01	(3.81688753126949e+01dB,1.48529944557182e+02°)	(3.79904975153087e+01dB,1.47720793185462e+02°)
8.57418770029034e+01	(3.80119142827992e+01dB,1.50265940339092e+02°)	(3.78260861413513e+01dB,1.49482328387078e+02°)
9.18958683997627e+01	(3.78704947995658e+01dB,1.51942506867057e+02°)	(3.76777076297022e+01dB,1.51186407605545e+02°)
9.84915530675932e+01	(3.77435173048917e+01dB,1.53556069253660e+02°)	(3.75442755303331e+01dB,1.52829002741024e+02°)
1.05560632861831e+02	(3.76298710928095e+01dB,1.55104013101446e+02°)	(3.74246814651359e+01dB,1.54407066475321e+02°)
1.13137084989848e+02	(3.75284555472858e+01dB,1.56584622992200e+02°)	(3.73178178561062e+01dB,1.55918481227074e+02°)
1.21257325320832e+02	(3.74381978591518e+01dB,1.57997003123798e+02°)	(3.72225972830870e+01dB,1.57361987087922e+02°)
1.29960383416998e+02	(3.73580671015429e+01dB,1.59340986722764e+02°)	(3.71379682217254e+01dB,1.58737095578765e+02°)
1.39288090127380e+02	(3.72870847799518e+01dB,1.60617040105246e+02°)	(3.70629271777227e+01dB,1.60043995485980e+02°)
1.49285278645889e+02	(3.72243321433487e+01dB,1.61826166252314e+02°)	(3.69965274342939e+01dB,1.61283456123456e+02°)
1.60000000000000e+02	(3.71689546494265e+01dB,1.62969811668490e+02°)	(3.69378847646686e+01dB,1.62456732292886e+02°)
1.71483754005807e+02	(3.71201640287172e+01dB,1.64049779226946e+02°)	(3.68861805368782e+01dB,1.63565474122392e+02°)
1.83791736799525e+02	(3.70772384009153e+01dB,1.65068148751139e+02°)	(3.68406626648031e+01dB,1.64611643951488e+02°)
1.96983106135186e+02	(3.70395208745449e+01dB,1.66027206283762e+02°)	(3.68006448498304e+01dB,1.65597441557490e+02°)
2.11121265723663e+02	(3.70064170193243e+01dB,1.66929382363491e+02°)	(3.67655045233562e+01dB,1.66525238310901e+02°)
2.26274169979695e+02	(3.69773915484295e+01dB,1.67777199161852e+02°)	(3.67346798519521e+01dB,1.67397520306803e+02°)
2.42514650641663e+02	(3.69519644923101e+01dB,1.68573226008074e+02°)	(3.67076661122885e+01dB,1.68216840131958e+02°)
2.59920766833995e+02	(3.69297070916109e+01dB,1.69320042624859e+02°)	(3.66840116876750e+01dB,1.68985776670949e+02°)
2.78576180254759e+02	(3.69102375871256e+01dB,1.70020209287213e+02°)	(3.66633138861274e+01dB,1.69706902204018e+02°)
2.98570557291778e+02	(3.68932170411800e+01dB,1.70676243076133e+02°)	(3.66452147334294e+01dB,1.70382755979473e+02°)
3.20000000000000e+02	(3.68783452879989e+01dB,1.71290599408516e+02°)	(3.66293968547395e+01dB,1.71015823432632e+02°)
3.42967508011613e+02	(3.68653570803715e+01dB,1.71865658067290e+02°)	(3.66155795250765e+01dB,1.71608520252654e+02°)
3.67583473599051e+02	(3.68540184757811e+01dB,1.72403713018442e+02°)	(3.66035149421698e+01dB,1.72163180553506e+02°)
3.93966212270373e+02	(3.68441234863903e+01dB,1.72906965374549e+02°)	(3.65929847540282e+01dB,1.72682048474608e+02°)
4.22242531447326e+02	(3.68354910030671e+01dB,1.73377518940639e+02°)	(3.65837968573855e+01dB,1.73167272612095e+02°)
4.52548339959390e+02	(3.68279619932022e+01dB,1.73817377853034e+02°)	(3.65757824711228e+01dB,1.73620902757575e+02°)
4.85029301283327e+02	(3.68213969646841e+01dB,1.74228445892311e+02°)	(3.65687934800738e+01dB,1.74044888494008e+02°)
5.19841533667990e+02	(3.68156736834037e+01dB,1.74612527115892e+02°)	(3.65627000386067e+01dB,1.74441079265628e+02°)
5.57152360509519e+02	(3.68106851285247e+01dB,1.74971327513339e+02°)	(3.65573884194544e+01dB,1.74811225599575e+02°)
5.97141114583556e+02	(3.68063376680106e+01dB,1.75306457437914e+02°)	(3.65527590909333e+01dB,1.75156981210595e+02°)
