Freq.	V(hot)-V(cold)
2.00000000000000e+01	(5.12572924720191e+01dB,1.11959086194936e+02°)
2.14354692507259e+01	(5.07412461469824e+01dB,1.13317858980575e+02°)
2.29739670999407e+01	(5.02359162511751e+01dB,1.14747384418071e+02°)
2.46228882668983e+01	(4.97423608474600e+01dB,1.16246971719496e+02°)
2.63901582154579e+01	(4.92616719426671e+01dB,1.17815157523256e+02°)
2.82842712474619e+01	(4.87949592920924e+01dB,1.19449620702672e+02°)
3.03143313302080e+01	(4.83433305992403e+01dB,1.21147112255788e+02°)
3.24900958542494e+01	(4.79078683987304e+01dB,1.22903407155311e+02°)
3.48220225318450e+01	(4.74896042330938e+01dB,1.24713285009817e+02°)
3.73213196614723e+01	(4.70894910791013e+01dB,1.26570545640489e+02°)
4.00000000000000e+01	(4.67083753058225e+01dB,1.28468064107550e+02°)
4.28709385014517e+01	(4.63469697051817e+01dB,1.30397887333031e+02°)
4.59479341998814e+01	(4.60058292753255e+01dB,1.32351371410797e+02°)
4.92457765337966e+01	(4.56853314156086e+01dB,1.34319355270888e+02°)
5.27803164309157e+01	(4.53856619875183e+01dB,1.36292362994765e+02°)
5.65685424949238e+01	(4.51068083150238e+01dB,1.38260824237671e+02°)
6.06286626604159e+01	(4.48485596785663e+01dB,1.40215300342358e+02°)
6.49801917084988e+01	(4.46105152636699e+01dB,1.42146703129503e+02°)
6.96440450636899e+01	(4.43920989371825e+01dB,1.44046494124224e+02°)
7.46426393229445e+01	(4.41925797196348e+01dB,1.45906853996169e+02°)
7.99999999999999e+01	(4.40110964626840e+01dB,1.47720814926191e+02°)
8.57418770029034e+01	(4.38466850600756e+01dB,1.49482352016547e+02°)
9.18958683997627e+01	(4.36983065216334e+01dB,1.51186433259565e+02°)
9.84915530675932e+01	(4.35648743973884e+01dB,1.52829030562913e+02°)
1.05560632861831e+02	(4.34452803092500e+01dB,1.54407096616637e+02°)
1.13137084989848e+02	(4.33384166791948e+01dB,1.55918513848424e+02°)
1.21257325320832e+02	(4.32431960870169e+01dB,1.57362022359862e+02°)
1.29960383416998e+02	(4.31585670082911e+01dB,1.58737133682771e+02°)
1.39288090127380e+02	(4.30835259486280e+01dB,1.60044036615481e+02°)
1.49285278645889e+02	(4.30171261911404e+01dB,1.61283500484943e+02°)
1.60000000000000e+02	(4.29584835089483e+01dB,1.62456780107065e+02°)
1.71483754005807e+02	(4.29067792699705e+01dB,1.63565525625413e+02°)
1.83791736799525e+02	(4.28612613879755e+01dB,1.64611699396230e+02°)
1.96983106135186e+02	(4.28212435642408e+01dB,1.65597501214916e+02°)
2.11121265723663e+02	(4.27861032300588e+01dB,1.66525302471484e+02°)
2.26274169979695e+02	(4.27552785519031e+01dB,1.67397589282035e+02°)
2.42514650641663e+02	(4.27282648063536e+01dB,1.68216914255943e+02°)
2.59920766833995e+02	(4.27046103766377e+01dB,1.68985856302094e+02°)
2.78576180254759e+02	(4.26839125706967e+01dB,1.69706987726830e+02°)
2.98570557291778e+02	(4.26658134142483e+01dB,1.70382847806464e+02°)
3.20000000000000e+02	(4.26499955323929e+01dB,1.71015922006359e+02°)
3.42967508011613e+02	(4.26361782000995e+01dB,1.71608626047887e+02°)
3.67583473599051e+02	(4.26241136150553e+01dB,1.72163294079549e+02°)
3.93966212270373e+02	(4.26135834252344e+01dB,1.72682170277777e+02°)
4.22242531447326e+02	(4.26043955273432e+01dB,1.73167403278370e+02°)
4.52548339959390e+02	(4.25963811402425e+01dB,1.73621042915438e+02°)
4.85029301283327e+02	(4.25893921487530e+01dB,1.74045038817480e+02°)
5.19841533667990e+02	(4.25832987072365e+01dB,1.74441240477525e+02°)
5.57152360509519e+02	(4.25779870884266e+01dB,1.74811398474993e+02°)
5.97141114583556e+02	(4.25733577606475e+01dB,1.75157166580646e+02°)
6.39999999999999e+02	(4.25693236754191e+01dB,1.75480104522779e+02°)
6.85935016023227e+02	(4.25658087471618e+01dB,1.75781681233023e+02°)
7.35166947198101e+02	(4.25627465070434e+01dB,1.76063278424302e+02°)
7.87932424540745e+02	(4.25600789137432e+01dB,1.76326194382362e+02°)
8.44485062894651e+02	(4.25577553049091e+01dB,1.76571647876343e+02°)
9.05096679918779e+02	(4.25557314742293e+01dB,1.76800782113880e+02°)
9.70058602566653e+02	(4.25539688602593e+01dB,1.77014668682712e+02°)
1.03968306733598e+03	(4.25524338343733e+01dB,1.77214311434281e+02°)
1.11430472101904e+03	(4.25510970764115e+01dB,1.77400650275819e+02°)
1.19428222916711e+03	(4.25499330277407e+01dB,1.77574564846291e+02°)
1.28000000000000e+03	(4.25489194125239e+01dB,1.77736878058775e+02°)
1.37187003204645e+03	(4.25480368189903e+01dB,1.77888359497543e+02°)
1.47033389439620e+03	(4.25472683334123e+01dB,1.78029728662659e+02°)
1.57586484908149e+03	(4.25465992203267e+01dB,1.78161658058470e+02°)
1.68897012578930e+03	(4.25460166432876e+01dB,1.78284776125154e+02°)
1.81019335983756e+03	(4.25455094211128e+01dB,1.78399670014614e+02°)
1.94011720513331e+03	(4.25450678151870e+01dB,1.78506888213608e+02°)
